88,83,51,70,40
92,75,54,74,42
91,86,60,74,37
87,76,39,69,40
88,76,45,73,41
91,90,49,63,38
91,78,56,76,40
88,78,56,77,41
91,76,43,82,41
90,75,48,67,46
89,80,54,71,42
95,88,42,81,41
90,73,51,69,38
89,74,36,71,37
92,72,45,72,46
96,85,52,78,42
88,81,49,67,37
88,77,58,61,44
95,79,47,76,46
87,77,46,71,40
88,80,40,73,40
91,83,49,68,34
87,77,51,70,47
88,76,52,76,39
88,78,43,66,43
86,70,51,79,39
86,75,55,66,44
87,82,59,75,38
90,84,59,62,45
88,79,51,66,43
88,81,45,83,43
93,84,47,75,41
94,79,38,77,43
93,71,46,77,42
94,82,40,78,39
91,77,50,69,43
88,84,46,73,37
88,77,45,65,39
89,66,52,61,38
90,80,56,76,39
92,79,54,68,41
87,83,47,69,37
88,88,55,65,43
91,88,42,79,39
88,87,52,82,39
91,86,52,67,38
91,74,50,66,38
91,86,51,73,41
89,85,47,68,36
88,79,47,67,43
95,81,49,70,39
92,81,45,64,42
91,78,57,66,38
88,88,58,71,34
90,82,56,83,41
87,83,59,70,46
93,82,48,66,39
91,85,59,76,44
89,79,64,76,40
88,83,56,74,46
89,76,52,73,42
91,82,60,81,43
87,82,63,67,43
92,88,47,84,39
92,81,48,67,45
90,77,58,63,43
87,78,61,70,38
89,86,50,69,31
91,85,43,79,39
91,80,42,77,44
90,83,46,71,38
91,76,49,79,37
91,88,41,79,38
90,82,51,67,35
91,77,48,75,42
89,73,42,69,42
92,81,46,65,42
92,82,44,62,38
88,83,44,70,43
90,84,49,72,41
89,83,56,61,34
91,87,59,75,44
89,77,51,69,45
93,83,42,69,40
91,82,43,69,40
91,85,69,66,39
93,87,55,69,41
92,84,50,69,42
90,74,48,68,41
90,85,50,70,41
89,87,53,71,41
90,73,45,67,43
89,77,43,62,46
89,82,40,72,38
96,79,44,63,34
91,75,52,80,43
92,79,58,66,40
88,84,58,72,36
88,89,55,76,41
87,78,58,64,41
